eat;ate;eaten;comer
meet;met;met;encontrar
run;ran;run;correr
speak;spoke;spoken;falar
write;wrote;written;escrever
read;read;read;ler
sing;sang;sung;cantar
drink;drank;drunk;beber
sleep;slept;slept;dormir
swim;swam;swum;nadar
drive;drove;driven;dirigir
fly;flew;flown;voar
give;gave;given;dar
take;took;taken;pegar
break;broke;broken;quebrar
choose;chose;chosen;escolher
begin;began;begun;começar
bring;brought;brought;trazer
build;built;built;construir
catch;caught;caught;pegar
draw;drew;drawn;desenhar
